key,item,classification,evidence_path,why,consultant_action,omar_action,aios_action
original_returned_pdf_binder,Original returned PDF binder,FOUND,/Users/hassanka/Downloads/PDF Binder (Plot-18) Palm Villa (Big Basement) (1).pdf,Heavy original binder exists and is referenced in existing review notes.,None.,Keep as evidence only.,Index and keep as return-history evidence.
latest_revised_pdf_binder,Latest / revised PDF binder,FOUND,/Users/hassanka/Downloads/Plot-18_PJ-P-VP-018_REV-01_Binder_Nakheel_Resubmission.pdf,Latest revised binder and final submission variants exist in Downloads and evidence folders.,Confirm which revised binder is the official one for authority use.,Request consultant to identify the final issue set by revision and date.,Cross-reference all binder variants.
nakheel_return_comments,Nakheel return comments,FOUND,/Users/hassanka/Downloads/FIRST_RETURN_NAKHEEL_ARCHITECTURAL_REJECTION_2026-05-22.pdf,"Return letter, comment matrix, QA report, and readiness audit all exist.",None.,Keep as evidence package.,Convert comments into reusable rule rows.
consultant_trade_license,Consultant trade license,MISSING,/Users/hassanka/Downloads/NAKHEEL_FINAL_PORTAL_UPLOAD_READY_20260624_01/09_CONSULTANT_CONTRACTOR/01_License_Letter_CANDIDATE_VERIFY.pdf,"Current candidate is for ERDINC PROPERTY HOLDING Limited, not Renaissance Engineering Consultants.",Provide the actual Renaissance Engineering Consultants trade license or valid consultant license letter.,Ask for the correct Renaissance license PDF immediately.,Flag the current candidate as invalid evidence.
owner_authorization_appointment_letter,Owner authorization / appointment letter,REQUIRES_HUMAN_CONFIRMATION,/Users/hassanka/Downloads/01A_OWNER_AUTHORIZATION_SIGN_STAMP_EXECUTION_READY.pdf,"Execution-ready authorization exists, but execution/signature status is not proven from current evidence.",Confirm whether Nakheel accepts this form and whether consultant signature/stamp is also required.,Have the owner sign the authorization and confirm if notarization or wet signature is required.,Keep the best execution-ready version isolated.
project_evaluation_sheet,Project evaluation sheet,REQUIRES_HUMAN_CONFIRMATION,/Users/hassanka/Downloads/PJ-P-VP-018_Nakheel_Signing_Pack_2026-06-23/02_PROJECT_EVALUATION_SHEET.pdf,"Completed sheet exists with correct project values, but signature/date/stamp fields are blank.",Review values against final drawings and sign/stamp if authority requests executed copy.,Get owner signature if the live portal or consultant requires it.,Keep the best filled version and flag missing execution.
gas_undertaking,Gas undertaking,MISSING,,Portal mapping explicitly lists signed gas connection undertaking as missing.,Provide signed gas connection undertaking letter.,Request the signed gas undertaking from consultant immediately.,Keep item red-flagged in checklist.
combined_cad_dwg_dxf,Combined CAD DWG/DXF,MISSING,,Portal mapping explicitly lists no DWG/DXF/CAD file found.,Provide combined CAD package in DWG/DXF if the portal slot is mandatory.,Request the CAD export from consultant.,Keep missing in matrix; AIOS cannot fabricate CAD.
topographical_survey_pdf_cad,Topographical survey PDF/CAD,MISSING,,No topographical survey PDF/CAD was found in searched project evidence.,Provide topo survey PDF and CAD if required by the portal slot.,Request topo survey from consultant or surveyor.,Track as missing evidence.
infrastructure_details,Infrastructure details,MISSING,,Portal report explicitly states no clearly named plot infrastructure details file found.,Provide plot infrastructure details sheet/file.,Ask consultant to send the exact infrastructure details attachment.,Keep missing in readiness score.
perspectives_front_back_top,3D perspectives front/back/top,UNCLEAR,/Users/hassanka/Downloads/PJ-P-VP-018_NAKHEEL_ALL_EVIDENCE/nakheel_pj_p_vp_018_new_pages/651082_G 102 Perspective.pdf,"Perspective evidence exists, but not clearly as the portal's minimum front/back/top set in separate verified files.",Confirm whether bundled G001-G004 renders satisfy the live slot or provide separate front/back/top renders.,Ask whether Nakheel insists on separate perspective sheets.,Preserve bundled render package and mark slot uncertain.
structural_drawings,Structural drawings,MISSING,/Users/hassanka/Downloads/NAKHEEL_FINAL_PORTAL_UPLOAD_READY_20260624_01/05_STRUCTURAL_DRAWINGS,Latest structural folder exists but contains no files.,Provide structural drawings if scope or portal requires them.,Ask consultant whether structural is not required or missing.,Mark as missing until explicit not-required proof exists.
mep_drawings,MEP drawings,MISSING,/Users/hassanka/Downloads/NAKHEEL_FINAL_PORTAL_UPLOAD_READY_20260624_01/06_MEP_OR_SERVICES,Latest MEP/services folder exists but contains no files.,Provide MEP/services drawings if scope or portal requires them.,Ask consultant whether MEP is not required or missing.,Mark as missing until explicit not-required proof exists.
signed_stamped_final_package,Signed / stamped final package,MISSING,/Users/hassanka/Downloads/PJ-P-VP-018_Nakheel_Final_Verified_Package_2026-06-23/99_REMAINING_BLOCKERS.md,"Existing blockers explicitly say owner signature, consultant signature, consultant stamp, and live portal confirmation are still required.",Issue the final signed/stamped package after review.,Do not submit until owner and consultant execution is complete.,Keep all sign-ready files grouped for execution.
